NO.,Species,Classification,Description (Flavor text),Primary Type,Secondary Type,Size,Rarity,Primary Habitat,Behavior,Activity,Evolution Requirement,Primary Ability,Secondary Ability,Hidden Ability,Capture DC,Lv,AC,HD,HP,VD,VP,Speed,Stat sum,STR,DEX,CON,INT,WIS,CHA,Saving throws,Proficiencies,Starting moves,2nd Level moves,6th Level moves,10th Level moves,14th Level moves,18th Level moves,Starting Move,Starting Move,Starting Move,Starting Move,2nd Level Move,2nd Level Move,2nd Level Move,2nd Level Move,6th Level Move,6th Level Move,6th Level Move,6th Level Move,10th Level Move,10th Level Move,10th Level Move,14th Level Move,14th Level Move,14th Level Move,18th Level Move,18th Level Move,18th Level Move,Primary ability description,Secondary ability description,Hidden ability description,Walking,Climbing,Flying,Hovering,Swimming,Burrowing,Sight,Hearing,Smell,Tremorsense,Echolocation,Telepathy,Blindsight,Darkvision,Truesight
395,Buzzlet,Mosquito,"This tiny Pokémon flits around forest ponds at dusk. The curl on its head glows softly to attract small prey, while its leaf-like wings help it blend in with foliage.",Bug,Fairy,Small,Common,Jungle,Aggressive,Dusk,Evolves: Mosqaegis @ Level 7,Bloodhound,,Hematophage,65,1,13,4,4,4,14,"30ft. Walking, 30ft. Climbing, 30ft. Flying",47,1,16,4,4,16,6,None,None,"Leech Life, Poison Sting, Hover, ","Wing Attack, Silent Approach, Supersonic, ","Swarm, Silver Wind, Air Cutter, Transfusion",", , ",", , ",", , ",Leech Life,Poison Sting,Hover,,Wing Attack,Silent Approach,Supersonic,,Swarm,Silver Wind,Air Cutter,Transfusion,,,,,,,,,,"This Pokémon can detect living creatures within a 90ft range. It gets advantage on perception checks to locate living creatures in range, and can't suffer reduced accuracy when attacking living creatures.",,"When this Pokémon deals melee damage, it regains hit points equal to half the damage dealt.",30ft,30ft,30ft,-,-,-,Poor,Good,Excellent,-,Good,-,Good,-,-
396,Mosqaegis,Mosquito,"Its body has developed a natural armor. While it still retains its elegant appearance, it can now defend itself effectively against bigger predators while hunting.",Bug,Fairy,Medium,Uncommon,Jungle,Stalking,Dusk,From: Buzzlet,Bloodhound,Vector,Hematophage,85,7,15,10,52,10,76,"30ft. Walking, 30ft. Climbing, 50ft. Flying",79,15,20,10,6,15,13,"Dexterity, wisdom","Athletics, acrobatics, perception","Leech Life, Poison Jab, Hover, First Impression","Wing Attack, Silent Approach, Supersonic, Wing Buffer","Swarm, Silver Wind, Air Cutter, Transfusion","Blood Shield, Plague Bearer, Piercing Lance","Cross Poison, Bug Buzz, Sonic Boom","Hypersonic Flight, Hurricane, Extreme Speed",Leech Life,Poison Jab,Hover,First Impression,Wing Attack,Silent Approach,Supersonic,Wing Buffer,Swarm,Silver Wind,Air Cutter,Transfusion,Blood Shield,Plague Bearer,Piercing Lance,Cross Poison,Bug Buzz,Sonic Boom,Hypersonic Flight,Hurricane,Extreme Speed,"This Pokémon can detect living creatures within a 90ft range. It gets advantage on perception checks to locate living creatures in range, and can't suffer reduced accuracy when attacking living creatures.","After landing a hit, this Pokémon can impose one of the following status conditions after a failed Constitution save: Poisoned, Paralyzed or Slowed (halv movement). The effect lasts until the next long rest.","When this Pokémon deals melee damage, it regains hit points equal to half the damage dealt.",30ft,30ft,50ft,-,-,-,Average,Excellent,Superior,-,Excellent,-,Excellent,-,-
397,Nectini,Berry Butterfly,"Primarily found in areas with abundant berry plants, particularly in the agricultural regions of Amalfara and Florinex. Also common in the wild berry groves of Libra Coast.",Bug,Flying,Tiny,Common,Forest,Cautious,Day,None,Pollinator,Berry Sense,Swarm,50,1,13,4,6,4,17,"10ft. Walking, 10ft. Climbing, 30ft. Flying",56,3,16,8,3,14,12,Dexterity,"Perception, stealth","Tackle, Sweet Scent, , ","Odor Sleuth, Double Team, , ","Sleep Powder, Confuse Ray, Silver Wind, ","Wing Buffer, Gust, ","Confusion, , ","Bug Bite, , ",Tackle,Sweet Scent,,,Odor Sleuth,Double Team,,,Sleep Powder,Confuse Ray,Silver Wind,,Wing Buffer,Gust,,Confusion,,,Bug Bite,,,This Pokémon can detect flowering plants within 30 feet. Has advantage on Survival checks to find plants and water sources.,"This Pokémon has advantage on Perception checks to locate berry plants, and can identify berry types by their flowers alone.","When this Pokémon falls below 25% of its maximum HP, add 50% more dice to damage rolls for its bug-type moves, and damaging bug moves cost 50% more VP.",10ft,10ft,30ft,-,-,-,Good,Poor,Superior,-,-,-,-,-,-
398,Dustwig,Desert Moth,"Found throughout the Aridune Desert and desert regions of Sylvaris, particularly around oases and areas with seasonal blooms. Also common near the Wandering Oases.",Ground,Flying,Tiny,Common,Desert,Docile,Dusk,None,Pollinator,Berry Sense,Sand Veil,35,1,13,4,8,4,18,"10ft. Walking, 10ft. Climbing, 30ft. Flying, 10ft. Burrowing",57,3,15,12,3,14,10,None,"Perception, stealth, survival","Tackle, Sweet Scent, , ","Odor Sleuth, Sand Attack, , ","Sleep Powder, Confuse Ray, Silver Wind, ","Wing Buffer, Gust, ","Confusion, , ","Bug Bite, , ",Tackle,Sweet Scent,,,Odor Sleuth,Sand Attack,,,Sleep Powder,Confuse Ray,Silver Wind,,Wing Buffer,Gust,,Confusion,,,Bug Bite,,,This Pokémon can detect flowering plants within 30 feet. Has advantage on Survival checks to find plants and water sources.,"This Pokémon has advantage on Perception checks to locate berry plants, and can identify berry types by their flowers alone.","This Pokémon is immune to Sandstorm damage. In addition,its AC increases by 2 in desert terrain, or during aSandstorm.",10ft,10ft,30ft,-,-,10ft,Average,Poor,Excellent,Excellent,-,-,-,Average,-
399,Blossomini,Flower Sprite,"Its appearance can shift to mimic various flowers, but its natural form resembles a small rose or lily. The center of its flower form contains a face that can be either visible or hidden behind petals. Its body emits a faint, pleasant fragrance that changes with its mood.",Grass,Fairy,Tiny,Common,Grassland,Docile,Day,None,Flower Mimic,Flower Gift,Flower Veil,40,1,13,4,6,4,17,"10ft. Walking, 30ft. Hovering",57,3,16,8,4,12,14,None,"Perception, stealth, performance","Vine Whip, Aromatic Mist, , ","Aromatherapy, Morning Sun, , ","Baby-Doll Eyes, , , ","Petal Dance, , ",", , ","Fleur Cannon, , ",Vine Whip,Aromatic Mist,,,Aromatherapy,Morning Sun,,,Baby-Doll Eyes,,,,Petal Dance,,,,,,Fleur Cannon,,,This Pokémon can spend 1 minute changing its appearance to match any common flower. Requires a DC 15 Intelligence (Investigation) check to identify it as a Pokémon while mimicking.,"During harsh sunlight, ally Pokémon within 30 feet of this Pokémon add their proficiency bonus to damage rolls.","Any grass-type ally within 15 feet of this Pokémon is immune to new status effects, and grass-type allies within the range also have advantage on saving throws.",10ft,-,-,30ft,-,-,Good,Good,Excellent,-,-,Poor,-,-,-
400,Mushusk,Decay Spore,"Primarily found in damp forests, particularly in the densely wooded areas of Libra Coast and Florinex. They thrive in areas with heavy leaf litter and fallen logs, especially in older growth forests where dead wood accumulates.",Poison,Grass,Tiny,Common,Forest,Docile,Dusk,None,Colony Mind,Camouflage,Poison Touch,35,1,12,6,11,6,21,"20ft. Walking, 10ft.. Burrowing",51,6,12,13,3,10,7,None,Stealth +3,"Tackle, Release Spores, Bioluminescent Spores, Decomposing Touch","Enzyme Production, Mycological Network, , ","Poison Gas, , , ","Venoshock, Toxic, ","Corrosive Mist, , ","Sludge Wave, , ",Tackle,Release Spores,Bioluminescent Spores,Decomposing Touch,Enzyme Production,Mycological Network,,,Poison Gas,,,,Venoshock,Toxic,,Corrosive Mist,,,Sludge Wave,,,This Pokémon can telepathically communicate with other members of the same species within 30 feet and has advantage on Wisdom checks when within 5 feet of another member of the same species.,"This Pokémon has advantage on Stealth checks while in its natural habitat, or in a fitting habitat (GM's discretion).","On melee attacks made by this Pokémon, roll a d10 on a hit.On a result of a 10, the target is poisoned.",20ft,-,-,-,-,10ft.,Average,Poor,Good,Poor,-,Poor,Poor,-,-
401,Spectrout,Spirit Fish,"Found in polluted waterways, particularly in urban areas and near industrial sites. Also common in natural water bodies with high organic waste content. Its skeleton is visible through its spectral flesh, and its fins seem to phase in and out of existence. Dark spots along its sides absorb toxins from the water, and its eyes glow with an eerie white light.",Ghost,,Small,Common,Lake,Aggressive,Night,Evolves: Horrish @ Level 8,Incorporeal Body,,Water Bubble,70,1,12,6,11,6,23,"5ft. Walking, 30ft. Swimming",55,8,14,13,3,10,7,None,Stealth,"Pound, Release Spores, Decomposing Touch, ","Night Shade, Poison Fang, , ","Bubble, Sludge, Phase, ","Shadow Sneak, , ","Muddy Water, , ","Moongeist Beam, , ",Pound,Release Spores,Decomposing Touch,,Night Shade,Poison Fang,,,Bubble,Sludge,Phase,,Shadow Sneak,,,Muddy Water,,,Moongeist Beam,,,"This Pokémon may move through solid walls. Walls are considered difficult terrain. While inside a wall, this Pokémon may still be targeted by moves, taking half damage. Entering a wall costs 5VP, and an additional 5VP at the start of every turn while inside the wall.",,"This Pokémon is resistant to fire-type damage and immune tothe burned condition.",5ft,-,-,-,30ft,-,Average,Poor,Excellent,-,-,-,-,Good,Poor
402,Moldite,Colony Slime,"Their color shifts based on the nutrients they're processing, ranging from pale green to deep purple. When forming colonies, they create intricate patterns that can span large areas. Particularly common in areas with extensive fungal networks.",Grass,Ghost,Tiny,Common,Cave,Docile,Night,None,Amorphous,Colony Mind,Protean,40,1,11,6,11,6,19,"15ft. Walking, 15ft. Burrowing",46,4,10,12,4,10,6,None,Stealth,"Pin Missile, Release Spores, Decomposing Touch, Toxic Spikes","Enzyme Production, Mycological Network, Harden, Spore Cloud","Toxic, Confuse Ray, , ","Sticky Web, Venoshock, ","Bioluminescent Spores, , ","Spike Protein, , ",Pin Missile,Release Spores,Decomposing Touch,Toxic Spikes,Enzyme Production,Mycological Network,Harden,Spore Cloud,Toxic,Confuse Ray,,,Sticky Web,Venoshock,,Bioluminescent Spores,,,Spike Protein,,,This Pokémon can move through spaces that are as narrow as 1 inch wide without squeezing.,This Pokémon can telepathically communicate with other members of the same species within 30 feet and has advantage on Wisdom checks when within 5 feet of another member of the same species.,"This Pokémon's primary type changes to the type of move it uses, just before the move is used. It takes on the new type's resistances, vulnerabilities, and immunities.",15ft,-,-,-,-,15ft,-,-,Excellent,Excellent,-,-,-,-,-
403,Grazeep,Static Wool,"Primarily found in highland pastures and rolling hills, particularly in the northern regions of the Shiman Federation. They are most common in Procello and the Rugitus Coast, where frequent storms help them build up their electrical charge.",Normal,Electric,Medium,Common,Grassland,Docile,Dawn,None,Static Wool,Seasonal Coat,Fluffy,45,2,13,6,14,6,27,35ft. Walking,61,8,14,10,4,13,12,None,"Perception +3, survival +3","Headbutt, , , ","Thunder Shock, , , ","Charge, Discharge, Wild Charge, Bulk Up","Volt Tackle, , ","Zing Zap, , ","Thunder, , ",Headbutt,,,,Thunder Shock,,,,Charge,Discharge,Wild Charge,Bulk Up,Volt Tackle,,,Zing Zap,,,Thunder,,,"When hit by a melee attack, this Pokémon discharges static electricity. The attacker must succeed a DC 10 Constitution saving throw or take 1d6 electric damage and be shocked, suffering disadvantage on attack rolls until the end of its next turn.","During winter months, this Pokémon gains resistance to ice damage and has advantage on stealth checks in their natural environment. In summer months, it gains resistance to fire damage, and has advantage on Constitution checks.","This Pokemon is vulnerable to fire-type moves, but takes half damage from any melee attack (that isn't fire-type).",35ft,-,-,-,-,-,Average,Average,Average,-,-,-,-,-,-
404,Hoppit,Burrow Rabbit,"Its fur changes color seasonally, from brown in summer to gray in winter. Its large ears can rotate independently to detect danger, and its powerful legs allow for quick escapes and impressive leaps.",Normal,Rock,Small,Common,Grassland,Cautious,Day,None,Run Away,Seasonal Coat,Quick Feet,60,1,13,6,10,6,23,"40ft. Walking, 20ft. Burrowing",62,8,16,10,4,14,10,None,"Perception, stealth","Tackle, Harden, Tail Whip, ","Jump Kick, Sand Attack, Quick Attack, ","Dig, Detect, Mud Shot, ","Earth Power, Agility, ",", , ","Earthquake, , ",Tackle,Harden,Tail Whip,,Jump Kick,Sand Attack,Quick Attack,,Dig,Detect,Mud Shot,,Earth Power,Agility,,,,,Earthquake,,,"This Pokémon cannot be the target of an attack ofopportunity.","During winter months, this Pokémon gains resistance to ice damage and has advantage on stealth checks in their natural environment. In summer months, it gains resistance to fire damage, and has advantage on Constitution checks.","When suffering from a negative status condition, thisPokémon’s speed increases by 15 ft.",40ft,-,-,-,-,20ft,Poor,Superior,Good,Excellent,-,-,-,Good,-
405,Mounteer,Highland Goat,"Its thick, dual-layered coat changes seasonally, and its specialized hooves can grip almost any surface. The crystalline horns grow in geometric patterns that become more complex with age.",Normal,,Medium,Common,Mountain,Aggressive,Day,Evolves: Mounteen @ Level 5,Rock Head,Seasonal Coat,Rivalry,65,1,14,6,12,6,26,"35ft. Walking, 35ft. Climbing",66,12,15,14,4,13,8,None,"Athletics, perception, survival","Headbutt, Leer, Rock Smash, ","Bulk Up, Horn Attack, Rock Polish, Rock Throw","Head Charge, Body Slam, Stomp, Rock Climb","Rock Slide, Superpower, ","Seismic Toss, Rest, Head Smash","Giga Impact, Diamond Storm, ",Headbutt,Leer,Rock Smash,,Bulk Up,Horn Attack,Rock Polish,Rock Throw,Head Charge,Body Slam,Stomp,Rock Climb,Rock Slide,Superpower,,Seismic Toss,Rest,Head Smash,Giga Impact,Diamond Storm,,This Pokémon takes no recoil damage.,"During winter months, this Pokémon gains resistance to ice damage and has advantage on stealth checks in their natural environment. In summer months, it gains resistance to fire damage, and has advantage on Constitution checks.","This Pokémon adds its proficiency bonus to damage whenattacking a Pokémon of the same type.",35ft,35ft,-,-,-,-,Average,Good,Average,-,-,-,-,-,-
406,Lanfae,Artifact,"Lanfae were once thought to be animated artifacts from the ancient civilization. They gather near noble houses that possess old relics, drawn to the residual ether energy. Their bodies naturally form from steel exposed to concentrated fairy energy for centuries.",Fairy,Steel,Small,Rare,City,Docile,Night,Evolves: Lumifae @ Level up holding noble house artifact,Revealing Light,,Ancient Connection,65,1,16,6,11,6,23,"25ft. Walking, 30ft. Flying, 30ft. Hovering",68,8,14,12,10,13,11,"Dexterity, Wisdom","Stealth, History","Fairy Wind, Metal Sound, Artifact Light, ","Light Screen, Flash, Confuse Ray, ","Steel Wing, Dazzling Gleam, , ","Iron Defense, , ","Moonblast, , ",", , ",Fairy Wind,Metal Sound,Artifact Light,,Light Screen,Flash,Confuse Ray,,Steel Wing,Dazzling Gleam,,,Iron Defense,,,Moonblast,,,,,,"As an action, this Pokémon can emit light in a 60 ft radius that dispels illusions and reveals invisible creatures by succeeding a Charisma check (GM discretion).",,"While this Pokémon is within 60ft. of an ancient artifact, it gains advantage on WIS saving throws.",25ft,-,30ft,30ft,-,-,Average,Good,-,-,Good,Good,-,Excellent,Poor
407,Lumifae,Artifact,Lumifae are deeply connected to the ancient noble houses. Their bodies contain metal believed to have been forged during the Age of Wonders. Some noble families claim these rare Pokémon once served as guardians of their ancestral artifacts.,Fairy,Steel,Small,Very Rare,City,Territorial,Night,From: Lanfae,Revealing Light,,Ancient Connection,100,10,18,8,78,8,83,"30ft. Walking, 50ft. Flying, 50ft. Hovering",85,10,16,14,13,15,17,"Dexterity, Wisdom, Charisma","Stealth, History, Arcana","Fairy Wind, Metal Sound, Artifact Light, ","Light Screen, Flash, Confuse Ray, ","Steel Wing, Dazzling Gleam, Moonlight, ","Iron Defense, Metal Burst, Flash Cannon","Moonblast, Secret Sword, Overheat","Meteor Mash, Misty Terrain, ",Fairy Wind,Metal Sound,Artifact Light,,Light Screen,Flash,Confuse Ray,,Steel Wing,Dazzling Gleam,Moonlight,,Iron Defense,Metal Burst,Flash Cannon,Moonblast,Secret Sword,Overheat,Meteor Mash,Misty Terrain,,"As an action, this Pokémon can emit light in a 60 ft radius that dispels illusions and reveals invisible creatures by succeeding a Charisma check (GM discretion).",,"While this Pokémon is within 60ft. of an ancient artifact, it gains advantage on WIS saving throws.",30ft,-,50ft,50ft,-,-,Excellent,Good,-,-,Good,Excellent,-,Excellent,Poor
408,Prankis,Mischief,"Prankis are known for harmless but elaborate pranks that never cause lasting harm. Noble children often keep them as playmates, as their presence is said to bring good fortune and laughter to a household. They can create small, convincing illusions to aid their mischief.",Fairy,Cosmic,Small,Very Rare,Sea of Dreams,Curious,Night,Evolves: Trixen @ Level up with high happiness after making at least 3 different people laugh.,Mischief Maker,Illusion,Mystical Presence,100,3,14,4,13,4,27,35ft. Walking,68,6,16,10,12,10,14,"Dexterity, Charisma","Stealth, Performance, Sleight of Hand","Fairy Wind, Confuse Ray, Detect, Double Team","Sweet Kiss, Tickle, Charm, Feint","Draining Kiss, Play Rough, Charm Person, Encore","Moonblast, Misty Terrain, Mystical Fire","Foul Play, Nasty Plot, Captivate","Entraintment, Blue Flare, ",Fairy Wind,Confuse Ray,Detect,Double Team,Sweet Kiss,Tickle,Charm,Feint,Draining Kiss,Play Rough,Charm Person,Encore,Moonblast,Misty Terrain,Mystical Fire,Foul Play,Nasty Plot,Captivate,Entraintment,Blue Flare,,"Each new round of initiative, this Pokémon may take its turn whenever it wants.",This Pokémon can take the visual form of any Pokémon it can see. It can do this a number of times per long rest equal to its level. This illusion lasts for one hour or until the Pokémon is hit by a damaging move.,This Pokémon may use its Charisma modifier instead of the regular modifier for all saving throws.,35ft,-,-,-,-,-,Good,Excellent,Excellent,Poor,Poor,Average,-,Good,-
409,Trixen,Mischief,"Trixen have been associated with noble houses for centuries, with some families even featuring them in their coat of arms. Though their pranks become more elaborate with evolution, they possess an innate sense of dignity that prevents causing true embarrassment. Their illusions can be so convincing that historical records sometimes mention them being mistaken for actual people.",Fairy,Cosmic,Medium,Very Rare,Sea of Dreams,Curious,Night,From: Prankis,Mischief Maker,Illusion,Mystical Presence,105,10,16,6,56,6,70,40ft. Walking,84,8,18,12,15,12,19,"Dexterity, Intelligence, Charisma","Deception, Performance, Persuasion, Stealth","Fairy Wind, Confuse Ray, Detect, Double Team","Sweet Kiss, Tickle, Charm, Feint","Draining Kiss, Play Rough, Charm Person, Encore","Moonblast, Misty Terrain, Mystical Fire","Foul Play, Nasty Plot, Captivate","Entraintment, Blue Flare, ",Fairy Wind,Confuse Ray,Detect,Double Team,Sweet Kiss,Tickle,Charm,Feint,Draining Kiss,Play Rough,Charm Person,Encore,Moonblast,Misty Terrain,Mystical Fire,Foul Play,Nasty Plot,Captivate,Entraintment,Blue Flare,,"Each new round of initiative, this Pokémon may take its turn whenever it wants.",This Pokémon can take the visual form of any Pokémon it can see. It can do this a number of times per long rest equal to its level. This illusion lasts for one hour or until the Pokémon is hit by a damaging move.,This Pokémon may use its Charisma modifier instead of the regular modifier for all saving throws.,40ft,-,-,-,-,-,Good,Excellent,Excellent,Poor,Poor,Average,-,Good,-
410,Sylvix,Gardener,"Sylvix are born from the purest forest energy, appearing in areas where the boundary between our world and the fairy realm thins. They protect young plants and small forest creatures. Gardens tended by Sylvix flourish with unusual vigor and resist disease and pests.",Fairy,Grass,Small,Rare,Sea of Dreams,Territorial,Day,"Evolves: Verdiane @ Level 5, long rest in a sacred forest location",Forest Blessing,,Mystical Presence,85,1,14,4,6,4,17,"20ft. Walking, 30ft. Flying",64,4,16,8,10,14,12,"Dexterity, Wisdom","Nature, Stealth, Survival","Absorb, Fairy Wind, Stun Spore, Growth","Magical Leaf, Sweet Kiss, Draining Kiss, Grass Whistle","Flower Shield, Petal Dance, Aromatherapy, Moonblast","Synthesis, Petal Blizzard, Nature's Madness","Frenzy Plant, Forest's Curse, Heal Bell","Light of Ruin, Solar Blade, ",Absorb,Fairy Wind,Stun Spore,Growth,Magical Leaf,Sweet Kiss,Draining Kiss,Grass Whistle,Flower Shield,Petal Dance,Aromatherapy,Moonblast,Synthesis,Petal Blizzard,Nature's Madness,Frenzy Plant,Forest's Curse,Heal Bell,Light of Ruin,Solar Blade,,"Active effect: This Pokémon can heal a plant or grass type Pokémon for 2d4 HP + its Wisdom modifier as an action. At level 5, the healing dice changes to 2d6, 2d8 at level 10, and 2d12 at level 17. This ability may be used three times per long rest. Passive effect: Plants within 20 ft grow more vigorously and are resistant to disease.",,This Pokémon may use its Charisma modifier instead of the regular modifier for all saving throws.,20ft,-,30ft,-,-,-,Good,Good,Good,-,-,Good,-,Good,-
411,Verdiane,Warden,Verdiane guard ancient forest groves with unwavering devotion. Their presence causes flowers to bloom out of season and trees to bear fruit year-round. Early Shiman settlers would leave offerings at forest edges to gain Verdiane's blessing for their farms and gardens.,Fairy,Grass,Medium,Very Rare,Sea of Dreams,Territorial,Day,"From: Sylvix; Evolves: Sylvestra @ Level 15, successfully defending a forest from a significant threat",Forest Blessing,,Mystical Presence,95,5,16,8,38,8,52,"30ft. Walking, 40ft. Flying",86,10,16,12,14,18,16,"Dexterity, Wisdom, Charisma","Nature, Survival, Medicine, Perception","Mega Drain, Fairy Wind, Stun Spore, Growth","Magical Leaf, Sweet Kiss, Draining Kiss, Grass Whistle","Flower Shield, Petal Dance, Aromatherapy, Moonblast","Synthesis, Petal Blizzard, Nature's Madness","Frenzy Plant, Forest's Curse, Heal Bell","Light of Ruin, Solar Blade, ",Mega Drain,Fairy Wind,Stun Spore,Growth,Magical Leaf,Sweet Kiss,Draining Kiss,Grass Whistle,Flower Shield,Petal Dance,Aromatherapy,Moonblast,Synthesis,Petal Blizzard,Nature's Madness,Frenzy Plant,Forest's Curse,Heal Bell,Light of Ruin,Solar Blade,,"Active effect: This Pokémon can heal a plant or grass type Pokémon for 2d4 HP + its Wisdom modifier as an action. At level 5, the healing dice changes to 2d6, 2d8 at level 10, and 2d12 at level 17. This ability may be used three times per long rest. Passive effect: Plants within 20 ft grow more vigorously and are resistant to disease.",,This Pokémon may use its Charisma modifier instead of the regular modifier for all saving throws.,30ft,-,40ft,-,-,-,Good,Excellent,Good,-,-,Excellent,-,Good,-
412,Sylvestra,Champion of the Forest,"Sylvestra are so rare that many believe them to be mere legends. Ancient texts describe them as guardians of sacred boundaries between worlds, and that forests protected by Sylvestra never wither, remaining vibrant even during the harshest winters. Some noble houses claim their ancestral grounds were blessed by these mystical beings centuries ago.",Fairy,Grass,Medium,Extremely Rare,Sea of Dreams,Territorial,Day,From: Verdiane,Forest Blessing,Forest Sovereign,Mystical Presence,100,17,18,10,163,10,149,"40ft. Walking, 60ft. Flying",110,16,18,16,18,20,22,"Dexterity, Constitution, Wisdom, Charisma","Nature, Perception, Survival, Medicine, Persuasion, Arcana","Giga Drain, Fairy Wind, Stun Spore, Growth","Magical Leaf, Sweet Kiss, Draining Kiss, Grass Whistle","Flower Shield, Petal Dance, Aromatherapy, Moonblast","Synthesis, Petal Blizzard, Nature's Madness","Frenzy Plant, Forest's Curse, Heal Bell","Light of Ruin, Solar Blade, Chaos Beam",Giga Drain,Fairy Wind,Stun Spore,Growth,Magical Leaf,Sweet Kiss,Draining Kiss,Grass Whistle,Flower Shield,Petal Dance,Aromatherapy,Moonblast,Synthesis,Petal Blizzard,Nature's Madness,Frenzy Plant,Forest's Curse,Heal Bell,Light of Ruin,Solar Blade,Chaos Beam,"Active effect: This Pokémon can heal a plant or grass type Pokémon for 2d4 HP + its Wisdom modifier as an action. At level 5, the healing dice changes to 2d6, 2d8 at level 10, and 2d12 at level 17. This ability may be used three times per long rest. Passive effect: Plants within 20 ft grow more vigorously and are resistant to disease.",This Pokémon commands plants and plant-based creatures. Plants will part to create paths and can be commanded to entangle foes.,This Pokémon may use its Charisma modifier instead of the regular modifier for all saving throws.,40ft,-,60ft,-,-,-,Good,Superior,Good,-,-,Superior,-,Excellent,-
413,Faeling,Harmony,"Faeling are believed to be the result of dragon eggs exposed to fairy energy. Despite their dragon heritage, they're gentle creatures that prefer playing to fighting. Their presence is said to bring harmony and good fortune to households, making them valued companions among noble families.",Fairy,Dragon,Medium,Extremely Rare,Sea of Dreams,Gentle,Day,Evolves: Drairy @ Level up after helping establish peace between conflicting parties,Peace Aura,,Diplomat,115,5,14,6,26,6,42,"25ft. Walking, 15ft. Flying, 30ft. Swimming",66,8,14,10,12,10,12,"Dexterity, Charisma","Acrobatics, Performance","Dragon Breath, Sweet Kiss, Charm, Calm Emotions","Draining Kiss, Dragon Pulse, Dragon Dance, Play Rough","Fairy Scales, Moonblast, Dragon Rush, Misty Terrain","Heal Pulse, Dazzling Gleam, Light Screen","Draco Meteor, Treaty Bind, Harmony Breath","Hurricane, Mystical Fire, ",Dragon Breath,Sweet Kiss,Charm,Calm Emotions,Draining Kiss,Dragon Pulse,Dragon Dance,Play Rough,Fairy Scales,Moonblast,Dragon Rush,Misty Terrain,Heal Pulse,Dazzling Gleam,Light Screen,Draco Meteor,Treaty Bind,Harmony Breath,Hurricane,Mystical Fire,,"At the beginning of each turn, hostile creatures within 30ft. must succeed a Wisdom saving throw or have disadvantage on attack rolls until the start of their next turn.",,This Pokémon can cast Calm Emotions once per short rest without consuming energy.,25ft,-,15ft,-,30ft,-,Good,Good,Good,-,Good,Excellent,-,Good,Poor
414,Drairy,Peace Maker,"Throughout Shiman history, the appearance of a Drairy has heralded an era of peace. These rare dragons were once called upon to mediate disputes between kingdoms, their mere presence calming even the most hostile negotiations. Ancient treaties were often signed under their watchful gaze, and some noble houses still display their shed scales as symbols of diplomatic prowess.",Fairy,Dragon,Huge,Extremely Rare,Sea of Dreams,Protective,Day,From: Faeling,Peace Aura,,Diplomat,120,17,17,12,182,12,167,"40ft. Walking, 60ft. Flying, 40ft. Swimming",101,14,18,16,17,16,20,"Dexterity, Constitution, Wisdom, Charisma","Persuasion, Insight, History, Perception, Animal Handling","Dragon Breath, Sweet Kiss, Charm, Calm Emotions","Draining Kiss, Dragon Pulse, Dragon Dance, Play Rough","Fairy Scales, Moonblast, Dragon Rush, Misty Terrain","Heal Pulse, Dazzling Gleam, Light Screen","Draco Meteor, Treaty Bind, Harmony Breath","Hurricane, Mystical Fire, ",Dragon Breath,Sweet Kiss,Charm,Calm Emotions,Draining Kiss,Dragon Pulse,Dragon Dance,Play Rough,Fairy Scales,Moonblast,Dragon Rush,Misty Terrain,Heal Pulse,Dazzling Gleam,Light Screen,Draco Meteor,Treaty Bind,Harmony Breath,Hurricane,Mystical Fire,,"At the beginning of each turn, hostile creatures within 30ft. must succeed a Wisdom saving throw or have disadvantage on attack rolls until the start of their next turn.",,This Pokémon can cast Calm Emotions once per short rest without consuming energy.,40ft,-,60ft,-,40ft,-,Excellent,Excellent,Excellent,-,Excellent,Superior,-,Good,Good
415,Kortier,Noble,"Kortiers have been associated with noble houses since ancient times. They appear in gardens of grand estates, mimicking the mannerisms of their human counterparts with comical precision. Some historical texts suggest they once served as advisors to the ancient civilization's elite, guiding them in matters of etiquette and diplomacy.",Fairy,Psychic,Small,Rare,Sea of Dreams,Curious,Dawn,Evolves: Noblier @ Level up holding Prism Bloom,Proper Form,Aura Break,Serene Grace,75,5,13,4,14,4,32,"25ft. Walking, 20ft. Hovering",68,6,12,8,14,12,16,"Intelligence, Charisma","Persuasion, History, Performance, Etiquette","Confusion, Fairy Wind, Charm, ","Helping Hand, Aromatic Mist, Courtly Grace, Calm Mind","Psybeam, Draining Kiss, Psychic, Moonlight","Moonblast, Future Sight, Moonlight Waltz","Fire Spin, Aurora Beam, Stored Power","Freeze Shock, Cosmic Pulse, Psycho Boost",Confusion,Fairy Wind,Charm,,Helping Hand,Aromatic Mist,Courtly Grace,Calm Mind,Psybeam,Draining Kiss,Psychic,Moonlight,Moonblast,Future Sight,Moonlight Waltz,Fire Spin,Aurora Beam,Stored Power,Freeze Shock,Cosmic Pulse,Psycho Boost,"When attacked, this Pokémon can impose disadvantage on an attack roll, correcting the attacker's ""improper form"".","When this Pokémon is in battle, the boost of Fairy Aura and Dark Aura abilities is reversed, Any applicable move type activated within 100 feet deals half damage instead of double.","The DC to avoid a negative status condition from thisPokémon is increased by 1.",25ft,-,-,20ft,-,-,Good,Good,Good,-,-,Good,-,-,-
